Confirmed,Deaths,Recovered,Date
555313,22019,67139.0,04-12
580619,23528,78924.0,04-13
607670,25831,85408.0,04-14
636350,28325,91501.0,04-15
667801,32916,96735.0,04-16
699706,36773,102639.0,04-17
859536,44835,210201.0,04-18
887758,47002,218928.0,04-19
784326,42094,126767.0,04-20
811865,44444,133321.0,04-21
840220,46622,138885.0,04-22
869170,49954,143750.0,04-23
905333,51949,180548.0,04-24
938154,53755,190817.0,04-25
965783,54881,197989.0,04-26
988197,56259,206169.0,04-27
1012582,58355,255235.0,04-28
1039909,60967,268204.0,04-29
1069424,62996,153947.0,04-30
1103461,64943,164015.0,05-01
